state,location,plz,lat,lon
Sachsen Anhalt,Magdeburg,39110,52.1396709,11.5906504
Nordrhein Westfalen,Remscheid,42859,51.1576646,7.1964179
Brandenburg,Neuhardenberg,15320,52.593799,14.2507934
Hessen,Wiesbaden,65183,50.0888428,8.2396787
Thüringen,Gera,7545,50.8772301,12.0796208
Bayern,München,80807,48.1868035,11.5842446
Hessen,Bad Nauheim,61231,50.3622626,8.73075
Sachsen,Dresden,1127,-33.0466998,-71.5754054
Nordrhein Westfalen,Wuppertal,42117,51.2493087,7.140505
Hessen,Kassel,34125,51.3229934,9.5129829
Nordrhein Westfalen,Bielefeld,33615,52.0316358,8.5010399
Sachsen Anhalt,Aschersleben,6449,53.6566372,13.9308868
Berlin,Berlin,12527,52.416142,13.5793661
Nordrhein Westfalen,Aachen,52070,50.776351,6.083862
Niedersachsen,Buchholz in der Nordheide,21244,53.3333021,9.8666653
Nordrhein Westfalen,Warburg,34414,51.526648,9.0444861
Nordrhein Westfalen,Bielefeld,33607,52.0125267,8.5645422
Nordrhein Westfalen,Hamm,59075,51.6971991,7.7612217
Baden Württemberg,Mannheim,68165,49.4784646,8.4963955
Sachsen,Limbach Oberfrohna,9212,50.8608138,12.7545462
Rheinland Pfalz,Wörth am Rhein,76744,49.0543232,8.2667399
Brandenburg,Brandenburg an der Havel,14772,52.4331327,12.5301165
Sachsen,Bad Lausick,4651,51.144234,12.6415822
Niedersachsen,Aurich,26603,53.4719464,7.4832304
Schleswig Holstein,Geesthacht,21502,53.4078507,10.4464257
Baden Württemberg,Karlsruhe,76131,49.0039733,8.4197446
Rheinland Pfalz,Frankenthal Pfalz,67227,49.5445804,8.3540061
Berlin,Berlin,12685,52.5418719,13.5711338
Hessen,Eltville am Rhein,65346,50.0275441,8.1189741
Mecklenburg Vorpommern,Rehna,19217,53.7750672,11.0510261
Sachsen,Eilenburg,4838,51.4586736,12.6344389
Nordrhein Westfalen,Dortmund,44329,51.5646028,7.5457728
Hessen,Frankfurt am Main,60314,50.1106444,8.6820917
Hessen,Hanau,63450,50.1334983,8.9223812
Sachsen,Chemnitz,9113,50.8322608,12.9252977
Mecklenburg Vorpommern,Diedrichshagen,17498,54.053158100000005,13.473898599999997
Sachsen,Leipzig,4157,-34.6165597,-58.5110546
Berlin,Berlin,12557,52.441468,13.5772449
Hamburg,Hamburg,20097,53.54561585,10.007820011571283
Sachsen,Leipzig,4103,-34.6165597,-58.5110546
Sachsen,Bad Gottleuba Berggießhübel,1816,50.8584186,13.9480444
Sachsen,Dresden,1099,-33.0466998,-71.5754054
Niedersachsen,Emden,26721,53.3680363,7.2061994
Bayern,München,80469,48.1339111,11.5797268
Sachsen,Dresden,1067,-33.0466998,-71.5754054
Baden Württemberg,Schorndorf,73614,48.7714102,9.5029293
Sachsen,Markneukirchen,8258,50.311883,12.3292151
Nordrhein Westfalen,Gelsenkirchen,45883,51.5110321,7.0960124
Sachsen Anhalt,Altmarkkreis Salzwedel,29416,52.76711135803571,11.089979436607145
Hessen,Kassel,34117,51.3154546,9.4924096
Schleswig Holstein,Schwarzenbek,21493,53.50663,10.5017839
Nordrhein Westfalen,Hamm,59067,51.6639597,7.7880947
Hessen,Frankfurt am Main,60388,50.1462735,8.7543238
Bayern,Straubing,94315,48.8705249,12.5511108
Niedersachsen,Lahstedt,31246,52.2295337,10.2426181
Nordrhein Westfalen,Paderborn,33098,51.7219936,8.757365
Nordrhein Westfalen,Düren,52351,50.8031684,6.4820806
Hessen,Altenstadt,63674,50.2890591,8.9922157
Bayern,Olching,82140,48.2034312,11.3316926
Sachsen,Dresden,1139,-33.0466998,-71.5754054
Hamburg,Hamburg,22527,53.5936362,9.9361872
Schleswig Holstein,Kiel,24116,54.3301184,10.1210149
Thüringen,Mühlhausen/Thüringen,99974,51.2094255,10.4589044
Nordrhein Westfalen,Essen,45143,51.4575762,6.9793744
Berlin,Berlin,13057,52.5673625,13.5276242
Nordrhein Westfalen,Rösrath,51503,50.922309,7.1687994
Mecklenburg Vorpommern,Boizenburg/Elbe,19258,53.375079,10.7232364
Sachsen,Burkhardtsdorf,9235,50.7333,12.9167
Schleswig Holstein,Flensburg,24944,54.7984344,9.4746531
Nordrhein Westfalen,Bocholt,46397,51.8382715,6.6148669
Nordrhein Westfalen,Bielefeld,33659,51.9708002,8.5185627
Berlin,Berlin,12629,52.5455072,13.5859941
Nordrhein Westfalen,Krefeld,47800,51.3463179,6.6170856
Baden Württemberg,Grenzach Wyhlen,79639,47.5528548,7.6737981
Sachsen Anhalt,Bad Lauchstädt,6246,51.3882278,11.864139473598271
Nordrhein Westfalen,Moers,47441,51.4425506,6.6309783
Nordrhein Westfalen,Datteln,45711,51.6445131,7.3294571
Berlin,Berlin,10435,52.5395806,13.4227873
Sachsen,Chemnitz,9114,50.8322608,12.9252977
Nordrhein Westfalen,Hagen,58095,51.3582945,7.473296
Sachsen Anhalt,Magdeburg,39130,52.1594905,11.5699563
Sachsen,Niesky,2906,51.2921267,14.8250955
Niedersachsen,Nordhorn,48527,52.4359731,7.0707659
Nordrhein Westfalen,Gladbeck,45699,51.9187249,7.2861655
Niedersachsen,Bad Harzburg,38667,51.883875,10.5649083
Nordrhein Westfalen,Essen,45239,51.4582235,7.0158171
Sachsen Anhalt,Stendal,39576,52.6249369,11.8450396
Hessen,Lampertheim,68623,49.5944958,8.4674561
Sachsen,Leipzig,4177,-34.6165597,-58.5110546
Mecklenburg Vorpommern,Grevesmühlen,23936,53.8581064,11.1852434
Nordrhein Westfalen,Essen,45327,51.4582235,7.0158171
Nordrhein Westfalen,Werne,59368,51.6716948,7.6416973
Sachsen Anhalt,Magdeburg,39104,52.1266163,11.6327625
Hamburg,Hamburg,20537,53.5474637,10.0525592
Nordrhein Westfalen,Duisburg,47167,51.434999,6.759562
Sachsen,Glauchau,8371,50.8199031,12.5397873
Sachsen,Crimmitschau,8451,50.8162378,12.3867217
Sachsen,Tharandt,1737,50.9828912,13.5917409
Sachsen,Annaberg Buchholz,9456,50.5788781,13.0106108
Sachsen Anhalt,Hötensleben,39393,52.1215427,11.0743057
Baden Württemberg,Stuttgart,70329,48.7707771,9.2645891
Nordrhein Westfalen,Velbert,42549,51.3397274,7.0353938
Brandenburg,Potsdam,14469,52.4283799,13.0035402
Rheinland Pfalz,Lauterecken,67742,49.6500361,7.5920007
Nordrhein Westfalen,Duisburg,47229,51.3890236,6.7066427
Nordrhein Westfalen,Gelsenkirchen,45899,51.52812,7.0202241
Nordrhein Westfalen,Wesel,46485,51.6576909,6.617087
Sachsen Anhalt,Naumburg Saale,6618,51.17124415,11.798905162961226
Hessen,Frankfurt am Main,60438,50.1760992,8.6288149
Niedersachsen,Holzminden,37603,51.7642957,9.509127
Mecklenburg Vorpommern,Sanitz,18190,54.0478892,12.3654677
Hessen,Frankfurt am Main,60433,50.1620953,8.6561749
Rheinland Pfalz,Limburgerhof,67117,49.4226572,8.3933508
Baden Württemberg,Laupheim,88471,48.2346796,9.8821965
Sachsen,Chemnitz,9112,50.8322608,12.9252977
Bayern,Coburg,96450,50.2584315,10.9660071
Bremen,Bremerhaven,27568,53.5420422,8.5782009
Nordrhein Westfalen,Köln,50670,50.9483727,6.9439043
Sachsen,Kitzscher,4567,51.1645029,12.5529858
Bayern,Sailauf,63877,50.0251205,9.2618738
Bremen,Bremen,28329,53.0688627,8.881446
Sachsen,Zwenkau,4442,51.2182735,12.324152
Baden Württemberg,Sallneck,79692,47.7235218,7.7718394
Sachsen,Colditz,4680,36.5020169,-84.5835497
Sachsen,Görlitz,2828,51.1563185,14.991018
